plant_ID	treat	date_flow	CW	CH	CA	SL	pl_height	nb_tot_fl	nb_fr	fruit_set	FM	fitness	sample_day	sc_sample_N	sc_sample_D	nb_open_fl_N	nb_open_fl_D	beta_myrcene_D	amyl_acetate_D	heptanal_D	hexyl_acetate_D	6_methyl_5_hepten_2_one_D	1_hexanol_D	heptyl_acetate_D	2_ethylhexylacetate_D	cyclosativene_D	benzaldehyde_D	unknown_1_D	nonyl_acetate_D	alpha_santalene_D	trans_alpha_bergamotene_D	phenylacetaldehyde_D	decyl_acetate_D	alpha_terpineol_D	Z_5_dodecenal_D	benzyl_acetate_D	ZE_alpha_farnesene_D	trans_geraniol_D	decanol_D	3_4_dimethoxytoluene_D	decen_1_ol_D	2_phenylethylacetate_D	benzyl_alcohol_D	dodecyl_acetate_D	2_phenylethanol_D	Z_5_dodecenyl_acetate_D	phenylpropyl_acetate_D	methyleugenol_D	benzenepropanol_D	p_cresol_D	Z_methylisoeugenol_D	tetradecyl_acetate_D	hexadecanal_D	2_aminobenzaldehyde_D	eugenol_D	1_tetradecanol_D	E_methylisoeugenol_D	tetradecen_1_ol_D	elemicin_D	asarone_D	hexadecyl_acetate_D	E_isoeugenol_D	Z_11_hexadecenyl_acetate_D	1_hexadecanol_D	isoelemicin_D	methylvanillin_D	hexadecen_1_ol_D	indole_D	unknown_2_D	3_4_5_trimethoxybenzaldehyde_D	vanillin_D	sem_inflo_D	sem_per_fl_D	beta_myrcene_N	amyl_acetate_N	heptanal_N	hexyl_acetate_N	6_methyl_5_hepten_2_one_N	1_hexanol_N	heptyl_acetate_N	2_ethylhexylacetate_N	cyclosativene_N	benzaldehyde_N	unknown_1_N	nonyl_acetate_N	alpha_santalene_N	trans_alpha_bergamotene_N	phenylacetaldehyde_N	decyl_acetate_N	alpha_terpineol_N	Z_5_dodecenal_N	benzyl_acetate_N	ZE_alpha_farnesene_N	trans_geraniol_N	decanol_N	3_4_dimethoxytoluene_N	decen_1_ol_N	2_phenylethylacetate_N	benzyl_alcohol_N	dodecyl_acetate_N	2_phenylethanol_N	Z_5_dodecenyl_acetate_N	phenylpropyl_acetate_N	methyleugenol_N	benzenepropanol_N	p_cresol_N	Z_methylisoeugenol_N	tetradecyl_acetate_N	hexadecanal_N	2_aminobenzaldehyde_N	eugenol_N	1_tetradecanol_N	E_methylisoeugenol_N	tetradecen_1_ol_N	elemicin_N	asarone_N	hexadecyl_acetate_N	E_isoeugenol_N	Z_11_hexadecenyl_acetate_N	1_hexadecanol_N	isoelemicin_N	methylvanillin_N	hexadecen_1_ol_N	indole_N	unknown_2_N	3_4_5_trimethoxybenzaldehyde_N	vanillin_N	sem_inflo_N	sem_per_fl_N
221	C	166	11.31	6.97	78.8307	14.17	314	44	44	1	11.48666667	505.4133333	D6	S573	S521	23	28	0	0	0	0.010358932	0	0	0.005102732	0	0	0	0	0	0	0	0.023156819	0	0	0	0	0	0	0	0	0	0.068363564	0	0	0.020018674	0	0	0.000907485	0	0	0	0	0	0	0	0.006382063	0	0	0.006573386	0	0	0	0	0	0	0	0	0	0	0	0	0.140863655	0.005030845	0	0.012867845	0	0.061911064	0	0	0.034820641	0	0	0	0	0.002034244	0	0	0.636670124	0.003097323	0	0	0.004035825	0	0	0	0	0	0.726033521	0.0048796	0	0.198521933	0	0	0.029436493	0	0	0	0.026309187	0.002595012	0.058676891	0.037963043	0.018272058	0.011721218	0	0.024608734	8.07E-05	0.003254123	0	0	0	0.007729625	0.022583652	0	0.198975871	0.058059284	0.061435466	0.009252299	2.255825776	0.098079382
222	HP	164	11.69	8.48	99.1312	13.23	225	24	24	1	7.396666667	177.52	D6	S574	S522	12	11	0	0	0.023529425	0.006252849	0	0	0	0	0	0	0.007088593	0	0	0	0.009528901	0	0	0	0	0	0	0	0.00216722	0	0	0.004473136	0	0.04321295	0	0	0	0	0.003794041	0	0	0	0	0	0	0	0	0.0060434	0	0	0	0	0	0	0	0	0	0	0	0	0.106090515	0.009644592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006399938	0	0	0	0	0	0	0	0	0	0	0	0	0.008593179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014993117	0.001249426
224	HP	163	12.53	8.58	107.5074	11.38	235	26	24	0.923076923	6.963333333	167.12	D6	S576	S524	13	15	0	0	0	0.008661943	0	0	0	0	0	0	0	0	0	0	0.034543378	0	0	0	0	0	0	0	0	0	0.05659308	0	0	0.041401778	0	0	0	0	0	0	0	0	0	0	0.007425671	0	0	0.005261969	0	0	0	0	0	0	0	0	0	0	0	0	0.153887819	0.010259188	0	0	0	0.012441869	0	0	0.003647147	0	0	0	0	0	0	0	0.063228472	0	0	0	0	0	0	0	0	0	0.078601362	0	0	0.046714281	0	0	0	0	0	0	0	0	0.001096495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.205729626	0.015825356
226	C	173	13.15	9.69	127.4235	16.63	163	11	9	0.818181818	5.163333333	46.47	D8	S810	S759	10	9	0	0	0	0	0	0	0	0	0	0	0.007427961	0	0	0	0.019539825	0	0	0	0	0	0	0.008465651	0.002025592	0	0.002891792	0	0	0.176773303	0	0	0	0	0.009510703	0	0	0	0.004925687	0	0.020874658	0	0.003064166	0.030631719	0	0	0	0	0.011764452	0	0.011963416	0	0	0.018958253	0.023744434	0	0.352561612	0.039173512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053683595	0	0	0	0	0	0	0	0	0	0	0	0	0.070863474	0	0	0	0	0	0	0	0	0.011029371	0	0	0	0	0	0	0	0	0	0	0	0	0	0.040964905	0.008710579	0	0	0.185251924	0.018525192
227	C	172	11.95	7.61	90.9395	14.96	200	16	14	0.875	7.25	101.5	D8	S772	S727	12	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025512999	0	0	0	0	0	0	0	0	0	0.002903595	0.003808628	0	0.035944165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.068169387	0.006197217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045382055	0	0	0	0	0	0	0	0	0	0	0	0	0.032307205	0	0	0	0	0	0	0	0	0.002545387	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006102154	0.008441308	0	0	0.094778109	0.007898176
228	HP	166	10.32	7.57	78.1224	13.45	185	19	19	1	5.036666667	95.69666667	D6	S578	S526	9	11	0	0	0	0	0	0	0	0.042926138	0	0	0.008362341	0	0	0	0.009319168	0	0	0	0	0	0	0	0	0	0	0	0	0.085017588	0	0	0	0	0.007178624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.152803859	0.01389126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.067541192	0	0	0	0	0	0	0	0	0	0.001532128	0	0	0.084624939	0	0	0	0	0.00193518	0	0	0	0.005651918	0	0	0	0	0.007264775	0	0	0	0	0	0	0.001229107	0	0.004248239	0.014797634	0.011534107	0	0.200359219	0.022262135
229	C	164	12.19	7.24	88.2556	16.19	252	32	31	0.96875	9.95	308.45	D1	S91	S40	21	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.059669478	0	0	0	0	0	0	0.005266095	0.003579669	0	0.006064613	0	0	0.120540454	0	0	0	0	0.00808832	0	0	0	0.002465241	0	0.037296824	0	0	0	0	0	0	0	0.019445412	0	0	0.01457719	0.015865596	0	0	0	0.292858892	0.014642945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166741362	0	0	0	0	0	0	0	0	0	0	0	0	0.07355598	0	0	0	0	0.007790078	0	0	0	0.00631269	0	0	0	0	0.000828474	0	0	0	0	0	0	0	0	0.005647348	0.005383158	0.003768231	0	0.270027321	0.012858444
231	C	166	12.99	8.63	112.1037	17.31	265	30	25	0.833333333	13.99	349.75	D6	S580	S528	25	28	0	0	0.023159685	0	0	0	0.002889977	0	0	0	0.013716524	0	0	0	0.557793431	0	0.003711193	0	0	0.001728536	0	0.008047191	0	0	0.019638857	0.00619312	0	0.298072313	0.009356559	0	0	0	0	0.002241537	0	0.003646938	0.005199556	0	0.045613062	0	0	0.017231619	0.013147208	0	0	0.007654772	0.011660374	0.005941598	0	0	0.02610741	0.006461873	0.016999578	0	1.106212911	0.039507604	0	0	0	0	0	0	0	0.028754752	0	0	0	0	0	0	1.051556748	0	0	0	0	0	0	0	0	0	0.013246181	0.004549368	0	0.332814847	0	0	0.001378274	0	0	0	0	0	0.012937937	0	0.008766248	0	0	0.021764918	0.001071484	0	0	0	0	0.007352572	0	0	0.140979776	0.04313409	0.042197394	0	1.710504589	0.068420184
232	HP	163	9.45	6.58	62.181	14.06	150	16	14	0.875	6.226666667	87.17333333	D2	S176	S125	8	7	0	0	0	0	0	0.031735924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09184181	0	0	0	0	0.006068496	0	0	0	0	0	0.008084765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137730995	0.019675856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.091195802	0	0	0	0	0	0	0	0	0	0	0	0	0.069958107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003412064	0	0	0	0.164565973	0.020570747
233	C	165	11.88	7.71	91.5948	12.4	240	17	16	0.941176471	7.433333333	118.9333333	D6	S581	S529	8	11	0	0	0	0	0	0	0	0	0	0	0.007446584	0	0	0	0.021141002	0	0.003786982	0	0	0	0	0	0	0	0.004347069	0.005073204	0	0.339107255	0	0	0	0	0.009495102	0.002766358	0	0	0.002074056	0	0.016719766	0	0	0.007445107	0.004649488	0	0	0	0	0	0.003626261	0	0.004711435	0	0.010909238	0	0.443298907	0.040299901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121854349	0	0	0	0	0	0	0	0	0	0.002336644	0	0	0.274812901	0	0	0	0	0	0	0	0	0.011787056	0	0	0	0	0.007032379	0	0	0	0	0	0	0.004137475	0	0.004817032	0.014473055	0.022651798	0	0.463902689	0.057987836
