Pop$	Block	W1	W2	W3	L1	L2	L3	flwsize	lines	colour	pigment	FlwDate	display	DaysFlwing	height	InflorLen	flowers	aborted	damage	fruits	meanfruitsize	fitness	openflws	VOCdate	unknown1	trans2octenal	cis6nonenal	cisbetaocimene	linalool 	bergamotene	germacreneD	alphafarnasene	betacitronellol	methylsalicylate	thujol	cisjasmone	nerolidol	unknown3	transbetaocimene	unknown2	alkene	methylbenzoate	sesquiterpene 	alphacedrene	alphacopaene	betacedrene	methylcinnamate	tscent	
TH	34	8.34	4.75	2.53	6.48	10.78	20.20	7.22	2.00	7.00	14.00	169	3.14	7	58	7	31	12	5	19	5.06	83.56	5.0	23	0.1382	0.4761	0.0322	0.0405	0.6465	0.1295	0.1247	0.0000	0.1567	0.0000	0.0587	0.0000	0.0000	0.1547	0.0000	0.0000	0.0000	0.0239	0.0000	0.0000	0.0397	0.0000	0.0000	2.0215	
WF	26	7.94	4.35	2.87	4.26	9.64	16.62	6.38	1.00	4.67	4.67	169	3.67	9	51.5	6.5	26	4	14	22	5.23	78.44	10.0	23	0.0000	0.3696	0.0823	0.1690	0.5871	0.1734	0.0899	0.0866	0.2039	0.0382	0.2380	0.0000	0.0000	0.1541	0.0625	0.0000	0.0000	0.0235	0.0000	0.2834	0.0576	0.0000	0.0000	2.6191	
TH	33	8.73	5.65	3.04	5.91	8.85	16.88	7.14	2.00	9.00	18.00	169	3.13	8	56	6	27	9	0	18	3.38	60.86	6.0	23	0.3386	1.1982	0.4548	0.0000	0.4704	0.4375	0.0547	0.0000	0.0348	0.0000	0.0333	0.0166	0.0000	0.1513	1.9354	0.0000	0.0000	0.0214	0.0000	0.0000	0.0864	0.0000	0.0000	5.2333	
WF	35	7.28	4.13	2.70	4.92	9.37	16.22	6.27	0.00	0.00	0.00	171	3.63	8	54	8.5	27	12	7	15	4.47	51.41	4.0	23	0.4515	0.3162	0.1336	0.0320	0.1155	0.1390	0.5217	0.0000	0.1009	0.0000	0.0660	0.0000	0.0280	0.1415	0.5079	0.0000	0.0000	0.0000	0.0000	0.0807	0.0725	0.0000	0.0000	2.7071	
WF	32	7.71	5.59	2.55	5.53	9.50	18.10	6.86	2.00	6.75	13.50	172	2.50	10	75	16	43	22	4	21	5.16	98.13	1.0	23	0.2184	0.0782	0.0927	0.0324	0.1484	0.0000	0.1025	0.0000	0.0333	0.0000	0.0403	0.0050	0.0000	0.1234	0.0000	0.0000	0.0000	0.0114	0.0000	0.0000	0.1573	0.0000	0.0000	1.0432	
WF	30	7.41	5.03	2.78	5.11	7.93	16.24	6.39	2.00	7.33	14.67	171	3.20	5	52.5	55	20	9	3	11	5.06	48.08	4.0	23	0.0000	0.1678	0.0000	0.0396	0.3292	0.1855	0.0098	0.0000	0.0284	0.0000	0.1072	0.0000	0.0000	0.1009	0.0000	0.0000	0.0000	0.0294	0.0000	0.0000	0.0261	0.0000	0.0000	1.0238	
TH	28	10.17	5.65	3.24	6.52	11.46	21.12	8.15	1.80	8.40	15.12	166	6.67	6	70	12.5	26	1	0	25	4.91	122.79	6.0	23	0.0638	0.3589	0.2060	0.0283	1.3532	0.2364	0.0102	0.0000	0.0596	0.0000	0.0346	0.0091	0.0000	0.0503	0.0000	0.0000	0.0000	0.0449	0.0000	0.0000	0.0481	0.0000	0.0000	2.5035	
TH	32	9.02	5.27	3.50	6.18	12.34	22.23	8.10	3.00	17.33	52.00	166	4.33	6	64	9.5	32	16	0	16	5.07	81.04	6.0	23	0.1201	1.1836	0.1514	0.0000	0.0718	1.5783	0.2826	0.0000	0.0048	0.0000	0.0384	0.0248	0.0000	0.0384	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0401	0.0000	0.0000	3.5342	
TH	26	8.64	4.78	2.89	4.92	10.51	19.20	7.01	1.40	6.00	8.40	166	4.00	6	58	7.5	15	4	1	11	4.83	50.68	5.0	23	0.7703	0.6795	0.3705	0.0393	0.4538	0.0813	0.1182	0.0000	0.2868	0.0000	0.0970	0.0000	0.0000	0.0263	0.0000	0.0000	0.0000	0.1540	0.0000	0.0000	0.0761	0.0000	0.0000	3.1532	
NR	3	7.05	4.15	2.84	4.66	9.19	14.39	6.10	2.00	9.67	19.33	166	6.00	7	58	8	38	1	2	37	5.32	191.44	9.0	21	0.1375	0.2221	0.0199	0.0396	0.3883	0.0000	0.0000	0.0727	0.0000	0.1100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3840	1.3740	
NR	10	8.54	5.55	3.02	5.90	9.81	18.55	7.32	2.33	10.33	24.11	169	4.00	7	40	4.5	22	0	3	22	4.33	88.80	6.0	21	0.9389	0.0000	0.2781	0.0416	0.2334	0.2238	0.0000	0.1904	0.0000	0.3172	0.0000	0.0416	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1176	0.0000	0.0000	0.0000	2.3825	
NR	17	7.26	4.09	2.72	4.60	8.85	17.45	6.21	3.00	10.33	31.00	171	3.40	5	50	8.5	21	5	5	16	4.40	59.37	2.0	22	1.3286	0.0000	0.0000	0.0000	0.0533	0.0000	0.0000	0.0000	0.0000	0.0089	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0888	0.0000	0.0000	0.0000	0.0000	0.1376	1.6172	
NR	19	7.34	3.75	3.32	4.54	8.25	15.26	6.11	1.67	6.67	11.11	166	5.33	6	49	5.5	23	4	4	19	3.81	64.73	8.0	22	1.0207	0.0000	0.0727	0.3509	1.2172	0.0000	0.0000	0.0000	0.0000	0.0611	0.1656	0.0000	0.0000	0.0000	2.2563	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.1446	
NR	22	7.96	4.66	2.83	5.00	8.60	16.50	6.49	3.00	12.67	38.00	169	9.75	4	61	11.5	36	4	2	32	4.27	132.48	10.0	24	0.1590	0.0000	0.0000	0.0000	0.0231	0.0000	0.0000	0.0000	0.0000	0.0078	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1899	
NR	31	7.62	4.56	3.07	5.29	9.25	18.00	6.74	3.00	11.00	33.00	169	6.57	7	41	12	36	10	9	26	4.71	101.25	13.0	23	0.0000	0.1404	0.0000	0.0000	0.0211	0.1071	0.0038	0.0000	0.0000	0.0000	0.0080	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0038	0.0000	0.0000	0.0175	0.0000	0.0000	0.3016	
TH	4	8.09	5.72	2.76	5.15	9.43	17.77	6.92	1.75	10.25	17.94	166	7.00	6	61	9.5	36	6	3	30	5.24	149.42	11.0	21	0.1532	1.2080	0.0148	0.0000	0.2300	0.0000	0.0000	0.0000	0.0000	0.0700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0917	0.4655	2.2332	
TH	13	8.03	4.82	2.85	5.80	12.07	20.76	7.37	0.00	0.00	0.00	169	6.50	8	82	24	45	10	5	35	4.29	139.32	6.0	22	0.0000	0.5169	0.0028	0.0000	0.0068	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1653	0.0000	0.0000	0.0000	0.6917	
WF	3	7.37	4.47	2.70	4.33	8.39	17.04	6.17	0.00	0.00	0.00	175	2.45	11	58	14	33	10	13	23	4.51	74.42	1.0	24	0.0507	0.2084	0.0589	0.0000	0.1572	0.0408	0.0743	0.0000	0.0312	0.0856	0.0000	0.0000	0.0000	0.0000	0.1830	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4517	1.3418	
WF	6	7.49	3.75	2.68	4.02	7.89	15.56	5.78	0.50	1.50	0.75	167	1.60	15	67	7	24	13	5	11	5.73	48.67	2.0	21	0.3930	0.0000	0.0000	0.0000	0.0588	0.0000	0.2452	0.0000	0.0000	0.0807	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0703	0.8480	
WF	12	8.37	4.75	3.02	4.85	8.30	16.01	6.53	2.67	7.67	20.44	169	3.00	6	56.5	5	18	4	6	14	5.44	59.88	5.0	21	0.3402	0.1977	0.0000	0.0000	0.2799	0.4164	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0555	0.0000	0.0000	0.0000	0.0000	0.0682	1.3580	
WF	15	8.15	4.83	3.11	5.07	9.03	16.99	6.76	1.80	8.60	15.48	166	4.75	5	47.5	8	30	6	7	24	4.56	93.57	8.0	22	0.1437	0.0729	0.0087	0.1809	0.3286	0.3170	0.0951	0.0355	0.3647	0.0000	0.0997	0.0081	0.0239	0.0000	1.0906	0.0000	0.0000	0.0000	0.0000	0.0345	0.0476	0.0899	0.0000	2.9413	
WF	16	7.21	3.91	2.33	4.34	8.73	17.61	5.93	2.50	9.50	23.75	171	1.50	6	48	6	8	2	3	6	4.51	20.28	1.0	22	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
WF	19	8.21	4.33	2.70	4.94	8.90	15.74	6.36	2.00	7.33	14.67	167	2.50	8	53	4	26	17	1	9	4.63	39.36	4.0	24	0.3529	1.1069	0.1093	0.0854	0.3440	0.2251	0.0000	0.0000	0.0686	0.0000	0.1328	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0479	0.0000	0.0600	0.0498	0.0000	0.2973	2.8800	
WF	22	7.41	4.40	2.84	5.27	9.08	16.82	6.49	3.00	6.33	19.00	169	3.00	8	66	7.5	29	12	7	17	4.98	67.19	1.0	24	4.5596	0.0000	0.0000	0.0000	0.0000	0.0000	0.3107	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4902	5.3605	
																																																	
																																																	
