Pop$	Block	W1	W2	W3	L1	L2	L3	flwsize	lines	colour	pigment	FlwDate	display	DaysFlwing	height	InflorLen	flowers	aborted	damage	fruits	meanfruitsize	fitness	openflws	VOCdate	unknown1	trans2octenal	cis6nonenal	cisbetaocimene	linalool 	bergamotene	germacreneD	alphafarnasene	betacitronellol	methylsalicylate	thujol	cisjasmone	nerolidol	unknown3	transbetaocimene	unknown2	alkene	methylbenzoate	sesquiterpene 	alphacedrene	alphacopaene	betacedrene	methylcinnamate	tscent	
TH	24	8.82	4.93	3.05	6.21	10.25	18.69	7.35	1.00	6.33	6.33	169	3.40	5	54	6.5	16	3	0	13	5.48	71.21	3.0	24	0.7140	1.7949	2.0947	0.1288	1.1615	0.0000	0.2970	0.0000	0.0000	0.0812	0.1912	0.0000	0.0529	0.0000	0.0000	0.6670	0.3406	0.0000	0.0000	0.0915	0.0836	0.0000	1.0156	8.7145	
NR	8	8.36	4.80	3.00	5.26	8.43	17.05	6.71	1.33	4.33	5.78	169	6.60	5	47	11	32	1	4	31	4.73	137.05	9.0	21	1.5542	0.2418	0.2223	0.0062	0.4006	0.4196	0.0000	0.2399	0.2450	0.0000	0.0000	0.0303	0.1228	0.1662	0.0000	0.3245	0.3353	0.5697	0.4606	0.4842	0.0766	0.4449	0.3813	6.7260	
WF	25	7.36	3.94	2.63	5.04	8.11	15.48	6.03	3.00	9.67	29.00	171	2.50	11	44	55	24	6	9	18	4.26	57.56	3.0	22	0.2933	0.1269	0.5538	0.0000	0.0916	0.2341	0.0000	0.0000	0.0000	0.0000	0.0000	0.0140	0.0000	0.6081	0.0000	0.0000	0.2093	0.0000	0.0000	0.0000	0.0613	0.0000	0.2118	2.4042	
TH	8	9.42	5.68	2.81	6.57	11.71	19.82	7.82	2.67	11.00	29.33	169	3.33	6	63.5	8.5	14	3	0	11	4.70	51.65	5.0	21	0.6461	0.2189	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1992	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0641	
TH	18	8.81	5.02	3.22	5.54	10.01	18.54	7.26	3.00	8.00	24.00	169	4.86	7	72	9	26	8	0	18	4.58	82.48	8.0	25	0.4710	1.4141	1.3698	0.0644	0.7709	0.3651	0.2088	0.0000	0.0000	0.1730	0.0956	0.0000	0.0289	0.0000	0.1151	0.4664	0.1703	0.0000	0.0000	0.0892	0.0418	0.0000	0.6831	6.5274	
TH	12	8.99	6.73	3.03	6.09	10.08	17.90	7.66	0.00	0.00	0.00	171	2.43	7	49	7	19	9	0	10	4.30	42.96	2.0	22	0.0000	0.0860	0.0000	0.0078	0.0394	0.3330	0.0000	0.0000	0.0076	0.0000	0.0000	0.0065	0.0000	0.0000	0.0000	0.0000	0.1341	0.0217	0.0000	0.0000	0.0040	0.0000	0.1014	0.7415	
NR	33	8.28	4.35	2.82	5.69	9.28	17.79	6.76	2.33	8.67	20.22	169	3.17	6	44	10.5	29	16	2	13	4.96	59.53	4.0	23	3.0251	0.1581	0.1814	0.0710	0.1372	0.0000	0.6053	0.5935	0.0561	0.0000	0.3997	0.0219	0.2248	0.1297	0.2917	0.0000	0.1280	0.7679	0.6631	0.2307	0.3351	0.6155	0.0000	8.6358	
WF	21	7.23	4.45	2.89	5.43	8.88	17.30	6.53	2.33	6.67	15.56	166	5.20	10	75	11	46	19	11	27	5.11	109.78	8.0	24	0.8258	1.5575	1.0195	0.3313	1.1502	1.6517	0.4061	0.0551	1.1250	0.1847	0.3078	0.0110	0.0840	0.0000	1.3970	0.2065	0.1049	0.0000	0.0000	0.0000	0.1621	0.0000	0.2322	10.8122	
NR	20	8.15	4.73	2.84	4.48	9.50	17.23	6.57	2.33	9.00	21.00	166	7.88	8	61	14	47	4	18	43	4.87	165.44	10.0	22	1.8425	0.4441	0.1737	0.0880	0.6068	0.0000	0.4788	0.0000	0.0000	0.3817	0.0109	0.0000	0.0000	0.0337	1.4163	0.0000	0.1045	0.3164	0.3025	0.1295	0.3027	0.3508	0.0000	6.9831	
WF	27	6.71	3.88	2.96	4.10	8.70	15.30	5.90	1.33	5.00	6.67	171	4.00	6	64.5	5.5	21	13	3	8	4.33	28.15	3.0	23	0.0000	0.3100	0.1906	0.0000	0.0481	0.1561	0.0000	0.0000	0.0092	0.0000	0.0487	0.0000	0.0000	0.0478	0.5774	0.0000	0.1003	0.0134	0.0000	0.0000	0.0267	0.0000	0.0000	1.5282	
NR	18	7.19	4.46	2.64	4.06	9.25	17.68	6.19	3.00	9.00	27.00	171	3.33	6	62	8	26	10	2	16	4.79	71.81	6.5	25	1.2574	0.4237	0.7985	0.2475	1.1105	0.3762	0.1854	0.0564	0.1232	0.4865	0.2048	0.0160	0.1685	0.0000	2.2660	0.1077	0.0955	0.0828	0.1624	0.0000	0.0602	0.1266	0.0000	8.3557	
NR	16	9.34	5.11	3.10	5.50	9.85	17.72	7.22	3.00	10.67	32.00	169	2.06	16	66	11.5	42	22	2	20	4.42	83.98	3.0	22	1.7421	0.2807	0.1502	0.0000	0.0000	0.0000	0.3959	0.1130	0.0000	0.0000	0.0000	0.0000	0.0000	0.5110	0.0000	0.0887	0.0881	0.0000	0.0000	0.0000	0.0000	0.0000	0.0745	3.4442	
NR	24	7.92	5.24	3.02	5.86	8.99	17.71	6.99	3.00	9.33	28.00	171	2.60	5	52	8	19	7	4	12	4.85	48.52	6.0	24	1.3726	0.1583	0.3349	0.1531	0.3859	0.8983	0.1004	0.4195	0.3513	0.2847	0.3358	0.0000	0.1144	0.0000	0.0000	0.2620	0.0874	0.1818	0.7407	0.2901	0.1327	0.3237	1.0398	7.9674	
WF	28	7.47	4.00	2.63	5.96	9.11	16.78	6.45	1.33	4.67	6.22	171	4.10	10	53	11	36	12	4	24	4.59	100.88	4.0	23	0.0928	0.1408	0.1049	0.0804	0.1259	0.0000	0.0620	0.0000	0.1286	0.0000	0.0980	0.0000	0.0079	0.0568	0.0000	0.0599	0.0870	0.1557	0.0000	0.4411	0.0000	0.0000	0.0000	1.6418	
WF	10	7.88	4.10	2.67	5.13	7.68	15.50	6.12	3.00	9.67	29.00	169	5.57	7	50	8	28	0	14	28	5.00	105.02	7.0	21	0.1857	0.1401	0.0000	0.2214	0.2818	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2113	0.0000	0.1773	0.0561	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.2736	
WF	18	8.62	4.97	2.88	5.13	9.03	17.74	6.83	2.00	8.67	17.33	169	6.67	6	50	13	36	5	7	31	4.41	121.21	8.5	25	0.0000	0.3398	0.1365	0.0845	0.3176	0.1648	0.0449	0.0433	0.1065	0.0191	0.1433	0.0000	0.0000	0.1010	0.3200	0.0000	0.0501	0.0185	0.0000	0.1417	0.0421	0.0000	0.0000	2.0737	
WF	20	8.01	4.55	2.92	4.99	10.85	19.52	6.95	1.00	6.67	6.67	169	4.13	8	66	8	28	4	12	24	5.15	92.77	6.0	22	0.3294	0.2374	0.1051	0.0438	0.1398	0.6353	0.1597	0.0000	0.2389	0.0510	0.0085	0.0370	0.0261	0.1824	0.1950	0.0000	0.0175	0.0365	0.0267	0.2968	0.0360	0.0260	0.0000	2.8286	
NR	14	7.63	4.84	3.03	5.37	9.35	18.90	6.88	3.00	12.67	38.00	169	4.13	8	69	11	34	5	7	29	5.54	141.23	6.5	25	0.9399	0.1798	0.8553	0.3897	1.4495	0.9163	0.2847	0.4421	0.4553	0.6569	0.3101	0.0272	0.0865	0.1090	1.0003	0.0847	0.0036	0.0269	1.3423	0.2499	0.2049	1.1786	0.5523	11.7457	
WF	13	7.44	4.45	2.72	5.25	8.59	15.89	6.34	1.00	3.67	3.67	169	6.00	16	73	14.5	101	42	12	59	5.08	269.35	5.0	22	0.7597	0.4060	0.9738	0.1020	0.0000	0.5031	0.3746	0.0405	0.2577	0.0767	0.1308	0.0231	0.0249	0.0160	0.9878	0.0000	0.0015	0.0613	0.0874	0.0929	0.1640	0.0828	0.0749	5.2417	
NR	30	7.43	4.05	2.81	4.94	9.76	18.64	6.51	3.00	9.00	27.00	169	3.55	11	77	19	35	18	7	17	3.95	53.30	6.0	24	2.4805	0.7467	1.3549	0.1023	0.3082	3.8298	0.2421	0.8166	0.1490	3.7700	0.1532	0.0452	0.3407	0.0000	0.0000	0.1580	0.0000	0.9707	1.6101	0.6168	0.1308	1.4861	0.8899	20.2014	
NR	23	7.65	4.83	2.97	5.46	9.07	17.66	6.77	3.00	10.00	30.00	169	4.29	7	59	7	28	9	4	19	4.79	81.50	6.0	24	1.5133	0.1408	1.0003	0.0995	1.2609	1.6800	1.3853	0.2364	0.1850	1.1909	0.2761	0.0213	0.1731	0.0000	1.4589	0.1935	0.0000	0.3373	0.7654	0.1569	0.3704	0.6964	0.0000	13.1416	
NR	34	9.34	5.40	2.82	5.21	9.67	17.98	7.10	2.40	9.60	23.04	166	4.33	6	50	11	16	1	1	15	4.58	66.38	7.0	23	1.3196	0.4461	0.1613	0.0411	0.2608	0.0000	0.1787	0.5509	0.1812	0.0000	0.1478	0.0000	0.0335	0.0903	0.0000	0.0000	0.0000	0.1489	0.6856	0.2670	0.1165	0.6858	0.0000	5.3152	
NR	12	8.46	5.16	3.00	5.23	8.79	18.76	6.95	3.00	9.80	29.40	166	9.00	5	66	11.5	41	4	1	37	5.45	198.83	7.0	22	2.5473	0.4446	0.7077	0.2343	0.3249	0.3398	0.8543	0.3724	0.2236	0.6288	0.1680	0.0272	0.0000	0.3156	1.7829	0.0000	0.0000	0.2982	0.6260	0.1469	0.1174	0.5499	0.0932	10.8029	
TH	31	7.70	4.70	3.25	5.09	11.13	19.95	7.14	1.67	8.00	13.33	166	1.80	10	75	6	19	9	0	10	4.73	47.27	2.0	23	0.8653	0.2537	0.1349	0.1079	1.0139	0.4111	0.3386	0.3990	0.3379	0.0000	0.2512	0.0417	0.0418	0.0482	0.2300	0.0000	0.0000	0.3575	0.5756	0.2001	0.0927	0.5813	0.0000	6.2824	
NR	1	8.15	5.04	2.81	5.15	9.26	17.09	6.74	3.00	10.25	30.75	166	5.25	8	60	10	39	10	5	29	5.31	140.73	10.0	21	1.1013	0.3796	0.5854	0.2299	1.5273	0.5365	1.3520	0.4723	0.5190	2.7888	0.2265	0.1177	0.2174	0.2368	0.5188	0.3731	0.0000	0.5103	0.5220	0.3226	0.1953	0.4879	0.1980	13.4185	
NR	28	9.49	5.21	3.11	5.68	9.15	18.19	7.25	2.00	7.67	15.33	169	3.43	14	68	14.5	38	13	7	25	4.16	89.39	4.0	23	0.7661	0.0876	0.2559	0.0754	0.6266	0.7772	0.3781	0.2503	0.1015	0.0000	0.1602	0.0219	0.0309	0.7538	0.0815	0.0000	0.0000	0.2224	0.5198	0.2029	0.2998	0.4889	0.0000	6.1009	
NR	32	9.36	5.33	3.04	6.02	9.51	18.20	7.35	2.80	10.00	28.00	166	6.33	6	61	12.5	39	8	9	31	4.80	127.23	10.0	23	0.9250	0.5396	0.1325	0.1368	0.2695	0.0000	0.0537	0.2692	0.3822	0.0000	0.2978	0.0253	0.0494	0.1308	0.6371	0.0000	0.0000	0.2458	0.5136	0.4645	0.0911	0.5056	0.0000	5.6695	
TH	20	7.32	4.57	2.58	4.98	9.11	17.10	6.37	2.33	9.67	22.56	166	3.67	9	65	8.5	31	13	3	18	4.85	79.98	5.0	22	0.1112	0.7545	0.0412	0.0165	0.1479	0.3611	0.0000	0.1765	0.0784	0.1395	0.0000	0.0160	0.0000	0.1050	0.0445	0.0000	0.0000	0.0247	0.4200	0.0759	0.0211	0.0000	0.2052	2.7393	
TH	16	9.16	5.07	3.07	6.18	10.12	18.96	7.44	3.00	8.33	25.00	169	3.71	7	58	10.5	34	12	1	22	4.19	90.07	4.0	22	0.2141	0.4059	0.0832	0.0130	0.0341	0.6672	0.0866	0.0634	0.0949	0.0392	0.0000	0.0285	0.0000	0.0000	0.0000	0.0000	0.0000	0.0077	0.3701	0.0626	0.0588	0.0232	0.0000	2.2527	
NR	26	9.87	5.56	2.95	6.03	8.10	17.48	7.19	2.00	6.67	13.33	171	2.67	6	51.5	6	18	6	3	12	5.23	54.96	3.0	23	2.0616	0.3276	0.2452	0.0703	0.2275	0.1301	0.2800	0.0843	0.0677	0.0000	0.1624	0.0204	0.0705	0.0716	0.0000	0.0000	0.0000	0.2803	0.2505	0.0000	0.1892	0.2311	0.0712	4.8415	
