PlantID	Year	Region	Population	NrFruits	RelfRS	PlantHeight_cm	InflorescenceLength_cm	NrFlowers	Z3Hexen1Ol_ngPerL	Styrene_ngPerL	Heptanal_ngPerL	alphaPinene_ngPerL	Benzaldehyde_ngPerL	Sabinene_ngPerL	betaPinene_ngPerL	6Methyl5Hepten2One_ngPerL	Z3HexenylAcetate_ngPerL	HexylAcetate_ngPerL	Limonene_ngPerL	BenzylAlcohol_ngPerL	Phenylacetaldehyde_ngPerL	PhenylethylAlcohol_ngPerL	BenzylAcetate_ngPerL	1Phenyl12Propanedione_ngPerL	Phenylethylacetate_ngPerL	1Phenyl23Butanedione_ngPerL	Eugenol_ngPerL	MethylEugenol_ngPerL	GeranylAcetone_ngPerL	Benzylbenzoate_ngPerL	ColourCode	Z_PlantHeight	Z_InflorescenceLength	Z_NrFlowers	Z_Z3Hexen1Ol	Z_Styrene	Z_Heptanal	Z_alphaPinene	Z_Benzaldehyde	Z_Sabinene	Z_betaPinene	Z_6Methyl5Hepten2One	Z_Z3HexenylAcetate	Z_HexylAcetate	Z_Limonene	Z_BenzylAlcohol	Z_Phenylacetaldehyde	Z_PhenylethylAlcohol	Z_BenzylAcetate	Z_1Phenyl12Propanedione	Z_Phenylethylacetate	Z_1Phenyl23Butanedione	Z_Eugenol	Z_MethylEugenol	Z_GeranylAcetone	Z_Benzylbenzoate	Z_ColourCode	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC1A	PC2A	PC3A	PC4A	PC5A	PC6A	PC7A
10MGo016	2010	mountain	Muenstertal	9	0.67605600	20	4	15	5.30000000	21.05180200	14.46444400	74.04992900	63.86655200	4.93777800	15.14222200	222.79266400	50.68879100	2.21216500	180.67533200	7.78699300	26.49873100	22.82761900	24.58889300	0.96433200	42.57869400	1.07333300	3.92760900	0.02666700	5.48621600	0.00000000	NA	-0.33490000	-0.56998400	-1.30247300	-0.14560400	-0.16652100	-0.10939500	1.23230600	-0.46812700	0.33630100	0.75340800	-0.85159900	-0.17958500	-0.34470200	0.04255400	0.37435400	-0.46668800	1.28889800	-0.10300100	0.40706300	-0.09483500	-0.31303100	0.43958500	-0.29209500	1.11373100	-0.33345700	NA	-0.19915100	0.61307800	-0.88833000	0.84593500	-0.01666500	-0.44753200	-0.29966100	NA	NA	NA	NA	NA	NA	NA
10MGo017	2010	mountain	Muenstertal	3	0.22535200	22	4	25	4.41777800	16.94470000	10.30444400	47.35250200	58.62318700	3.06444400	8.38444400	229.52790100	93.71969700	0.94427000	166.35683100	1.41194700	67.47137600	11.97257200	7.17137800	0.41307300	48.33863800	0.65555600	1.01618200	0.00000000	2.65263500	0.00000000	NA	0.04784300	-0.56998400	-0.32790200	-0.34496700	-0.38220500	-1.05479900	-0.03860500	-0.51892600	-0.37313700	-0.41894200	-0.82466400	0.34402000	-1.54521500	-0.06742900	-0.56217500	-0.04072600	0.26575800	-0.52576300	-0.64153800	-0.00073900	-0.42443700	-0.46456500	-0.33521300	-0.28744200	-0.33345700	NA	-0.30268500	-0.19654300	-0.45131500	0.02129700	-0.83617300	-0.36099400	-0.36558300	NA	NA	NA	NA	NA	NA	NA
10MGo018	2010	mountain	Muenstertal	12	0.90140800	18	6	31	3.74888900	16.81310500	8.96444400	54.50315200	179.99330100	3.74666700	10.97111100	213.25038900	40.29169100	2.63023000	154.12331700	3.37483600	189.97409600	12.00129600	61.62676200	1.71433600	96.34480600	4.04000000	3.81974500	0.03555600	2.09434800	0.00000000	NA	-0.71764200	0.68791200	0.25684000	-0.49612100	-0.38911500	-1.35932800	0.30179600	0.65694200	-0.11477700	0.02979700	-0.88975900	-0.30609800	0.05114500	-0.16139700	-0.27381600	1.23284300	0.26846500	0.79599000	1.83371600	0.78350300	0.47806500	0.40608700	-0.27772200	-0.56350800	-0.33345700	NA	1.30728600	-0.03421900	-0.07566900	-0.40863700	-1.00980200	-0.41690500	-0.34425300	NA	NA	NA	NA	NA	NA	NA
10MGo019	2010	mountain	Muenstertal	2	0.15023500	16	4	22	5.06888900	20.81390600	14.40444400	48.19224800	68.85729700	5.88888900	13.09111100	255.50261900	40.37179300	1.92437300	151.05352700	2.49405900	56.64594400	5.38417600	16.06367200	0.71189000	22.11826700	0.17111100	0.66855000	0.00000000	1.53332200	0.00000000	NA	-1.10038500	-0.56998400	-0.62027300	-0.19783000	-0.17901400	-0.12303100	0.00137000	-0.41977500	0.69649000	0.39757800	-0.72079000	-0.30512300	-0.61720000	-0.18497600	-0.40320700	-0.15327000	-0.35523000	-0.30992700	-0.07313000	-0.42908200	-0.55362000	-0.57252300	-0.33521300	-0.84092900	-0.33345700	NA	-0.31706500	0.47531300	-0.81776600	-0.09694600	-0.76891400	-0.34108700	-0.35533500	NA	NA	NA	NA	NA	NA	NA
10MGo020	2010	mountain	Muenstertal	7	0.52582200	16	3	13	8.58000000	22.59678500	16.34444400	60.04212000	61.35020700	6.42444400	17.03777800	345.50138200	229.71101400	2.27194400	190.07675700	3.10880400	21.01182100	6.31346900	10.51843700	0.55117700	8.21021700	0.09555600	0.19362200	0.00000000	1.87019500	0.00000000	NA	-1.10038500	-1.19893200	-1.49738700	0.59560300	-0.08538600	0.31785400	0.56547400	-0.49250600	0.89930700	1.08225200	-0.36088200	1.99877800	-0.28810000	0.11476700	-0.31289800	-0.52373100	-0.26763900	-0.44452200	-0.37883900	-0.65628800	-0.57376700	-0.72001300	-0.33521300	-0.67434900	-0.33345700	NA	-0.62845200	0.98227400	-1.30022700	0.01969300	-0.70058800	1.19396900	-0.40245600	NA	NA	NA	NA	NA	NA	NA
10MGo021	2010	mountain	Muenstertal	9	0.67605600	18	4	34	11.49333300	14.45211500	19.88222200	51.56763600	76.19207600	3.18444400	10.04000000	222.25464900	56.22742500	3.13733800	183.38010700	1.22836800	34.63688400	1.95791000	13.93038400	0.54702900	27.24055500	0.30666700	0.44450000	0.00000000	1.41680100	0.00000000	NA	-0.71764200	-0.56998400	0.54921100	1.25395200	-0.51310200	1.12185100	0.16205300	-0.34871400	-0.32769200	-0.13173400	-0.85375000	-0.11219000	0.53130200	0.06332900	-0.58914400	-0.38208100	-0.67817100	-0.36170700	-0.38672800	-0.34540300	-0.51747200	-0.64210200	-0.33521300	-0.89854700	-0.33345700	NA	-0.45915800	0.06645700	0.04703300	-0.24595800	-0.60979500	0.92321500	-0.34830100	NA	NA	NA	NA	NA	NA	NA
10MGo022	2010	mountain	Muenstertal	36	2.70422500	26	7	44	8.90444400	9.82939400	17.34444400	42.40313200	32.94244400	2.24888900	5.99555600	164.28107500	63.70495200	1.54825700	127.97048300	0.51819700	3.99592800	1.18048500	0.22720300	0.28046500	0.87613800	0.12666700	0.13379800	0.02222200	1.48433200	0.00000000	NA	0.81332800	1.31686000	1.52378100	0.66892000	-0.75586400	0.54511500	-0.27421600	-0.76772900	-0.68199100	-0.83337000	-1.08558900	-0.02120300	-0.97332700	-0.36228100	-0.69347200	-0.70063300	-0.75144700	-0.69431300	-0.89378400	-0.77609900	-0.56547100	-0.73859100	-0.29928100	-0.86515400	-0.33345700	NA	-0.92127900	-0.46934500	1.51873900	-0.13984500	-0.93082300	0.41294200	-0.28550100	NA	NA	NA	NA	NA	NA	NA
10MGo023	2010	mountain	Muenstertal	7	0.52582200	16	3	12	8.70888900	12.73152200	17.55333300	67.57745500	62.33824000	3.19777800	9.62888900	320.66518700	36.91350400	2.86548200	185.72471700	1.61588500	18.03211600	3.04499800	21.05412200	0.60397600	12.00556200	0.70222200	0.20440700	0.00000000	1.07141300	0.00000000	NA	-1.10038500	-1.19893200	-1.59484400	0.62472900	-0.60345900	0.59258700	0.92418800	-0.48293400	-0.32264300	-0.20305400	-0.46020300	-0.34720400	0.27389400	0.08133900	-0.53221600	-0.55470900	-0.57570800	-0.18879800	-0.27840400	-0.59428600	-0.41199300	-0.71666300	-0.33521300	-1.06933800	-0.33345700	NA	-0.32339600	0.20260200	-1.15345600	-0.29884700	-0.53708700	0.29272900	-0.37243700	NA	NA	NA	NA	NA	NA	NA
10MGo024	2010	mountain	Muenstertal	21	1.57746500	20	5	32	24.16666700	13.39114900	29.04888900	117.93110100	62.34578500	7.12222200	15.24888900	328.15334600	184.04728500	3.00900100	290.12719900	3.80795800	10.28048700	1.57224600	1.96644400	0.45689500	0.61741800	0.10666700	0.20350900	0.00666700	1.32271600	0.00000000	NA	-0.33490000	0.05896400	0.35429700	4.11784300	-0.56881900	3.20507200	3.32123600	-0.48286100	1.16355800	0.77191300	-0.43025700	1.44313600	0.40978600	0.88327100	-0.21018800	-0.63529700	-0.71452200	-0.65209800	-0.55818000	-0.78032600	-0.57080500	-0.71694200	-0.32443300	-0.94507200	-0.33345700	NA	-1.10307100	1.84350100	0.62483000	0.28417200	-0.79696300	3.07586600	-0.52619900	NA	NA	NA	NA	NA	NA	NA
10MGo025	2010	mountain	Muenstertal	16	1.20187800	27	5	29	9.95777800	12.34127200	17.29111100	53.41630100	66.69095000	2.88444400	10.63555600	270.71787700	33.07674400	2.49020000	201.41285800	1.66124800	23.75346800	1.25642200	19.67891100	0.70368600	11.88059300	0.33333300	0.98761500	0.00000000	1.30051200	0.00000000	NA	1.00469900	0.05896400	0.06192600	0.90695000	-0.62395300	0.53299400	0.25005700	-0.44076400	-0.44130300	-0.02841600	-0.65994400	-0.39389000	-0.08144300	0.20184200	-0.52555200	-0.49522800	-0.74429000	-0.22217700	-0.08873600	-0.59632700	-0.51036100	-0.47343600	-0.33521300	-0.95605100	-0.33345700	NA	-0.45308300	0.12915400	0.63581300	-0.28957900	-0.76267600	0.40574600	-0.30920800	NA	NA	NA	NA	NA	NA	NA
